,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Summary,Meta_Score,User_Review
13935,Surfing H3O,PS2,2000.0,Sports,Take-Two Interactive,0.12,0.1,0.0,0.03,0.25,2000-10-26,"Surrounded in beautiful scenery, you must master hardcore surfing techniques to handle epic waves. As real as you can get...without getting wet. Before the present 128-bit days, surfing was limited to crude, two-dimensional mock-ups of the real thing. Because of the complex nature of water, a powerful system is needed to accurately render the oceanic environs. With the powerful capabilities of the PlayStation 2, Take 2's Surfing H30 ups the level of surfing games with its visual splendor and water physics. With six different locales full of sun and surf, 11 characters to ride the waves (all with their separate strengths and weaknesses), and a custom X-Board controller to more accurately reproduce the action with your Dual Shock 2, Surfing H30 aims to be the closest thing to surfing short of waxing up your own board and hitting the beach.",46.0,3.6
13936,Resident Evil Archives: Resident Evil Zero,Wii,2008.0,Action,Capcom,0.14,0.04,0.06,0.02,0.25,2009-12-01,"Prequel to the game that started a multi-million dollar franchise, Resident Evil Archives: Resident Evil Zero exposes the back story and internal tyranny of the Umbrella Corporation and lets players discover the origins of the T-Virus in an epic storyline that tells the horrors leading up to the infamous mansion incident. Only available on the Nintendo GameCube until now, Resident Evil Zero brings Rebecca Chambers - rookie member of S.T.A.R.S. Bravo Team - to Raccoon City, where she must investigate a series of gruesome murders. Almost immediately she stumbles upon a military transport truck filled with corpses and her journey of horror begins. Along the way Rebecca meets Billy Coen, an ex-Marine convicted on circumstantial evidence for the murder of 23 people. Players will get to control both Rebecca and Billy simultaneously using the Partner Zapping system, as they fight their way out of Raccoon City in the last of the main titles to use the original Resident Evil gameplay system prior to Resident Evil 4. [Capcom Entertainment]",62.0,8.6
13937,Amped 2,XB,2003.0,Sports,Microsoft Game Studios,0.2,0.04,0.0,0.01,0.25,2003-10-28,"Amped 2 offers a freestyle snowboarding experience with a large and varied trick library. You'll explore vast areas of wide-open, real mountains packed with terrain parks. Play head-to-head with friends in the various multiplayer modes. When you're ready to take it to the next level, connect to Xbox Live to check rankings and challenge the world's best virtual riders. Travel the globe, and pull sick tricks in front of sponsors, photographers, and fans. The latest snowboarding magazines or videos feature your photos and demo reels as you become more famous. Climb to the top ranks of the sport, and become a media superstar--all to the sounds of more than 300 killer indie tracks.",80.0,7.7
13947,Birds of Steel,PS3,2012.0,Simulation,Konami Digital Entertainment,0.1,0.09,0.02,0.04,0.25,2012-03-13,"Get ready to strap in, go back in time and take stick in the most pivotal battles in the history of air combat. Birds of Steel puts you right in the crosshairs of WWII’s most intense skirmishes. This original IP blends next gen supremacy and the fine details of aerial combat into a historical recreation fit for flight sim fans and history buffs alike. Use your skills to pilot the top planes from all combatants in WWII to recreate history or to change the outcomes of the most prolific battles in history. Online and offline elements add an entire new element to the game which will ensure Birds of Steel remains a fresh combat experience long after you’ve played for the first time.",77.0,8.5
13951,Animal Paradise,DS,2007.0,Simulation,Empire Interactive,0.09,0.14,0.0,0.02,0.25,2008-09-23,"Feed, clean, walk and play with them, but above all make them happy to earn their love. This exciting title will thrill animal lovers of all ages with its exciting mix of pets, including everything from dogs and cats to hamsters and pigs. [Empire Interactive]",49.0,7.5
13952,Men of Valor,XB,2004.0,Shooter,Vivendi Games,0.19,0.05,0.0,0.01,0.25,2004-10-19,"Men of Valor follows an American marine through the early stages of the conflict in Vietnam to the Tet Offensive. In historically accurate scenarios, you must play a variety of roles in which you'll man the door gun on a Huey helicopter, steer a riverboat along enemy-infested shores, battle your way through enemy tunnel complexes, and call down fire as a forward observer. Mission types include pilot rescues, recon patrols, POW rescue, and search-and-destroy ops.",73.0,7.3
13954,Billy Hatcher and the Giant Egg,GC,2003.0,Platform,Sega,0.19,0.05,0.0,0.01,0.25,2003-09-23,A wicked plot by a sinister raven and his massive flock of monstrous crows has cast Morning Land into darkness. Only Billy Hatcher and his friends from the human world can bring the dawn again to the lands of the Chicken Elders. Get ready to discover a wild and unpredictable world where you'll use the surprising power of the giant eggs and the creatures they contain to make your way through puzzling realms and challenging missions. You'll be surprised by what you can do with these eggs but it will take quick moves and a Rooster Suit to foil the fowl forces of Dark Raven.,71.0,8.6
13956,Spider-Man: Edge of Time,X360,2011.0,Action,Activision,0.18,0.05,0.0,0.02,0.25,2011-10-04,"Developed by Activision-owned studio Beenox, Spider-Man: Edge of Time challenges the player to take on the roles of both classic Amazing Spider-Man and Spider-Man 2099 to correct a timestream gone awry and prevent a catastrophic future brought on by the early and untimely death of Peter Parker.",62.0,6.9
13971,The Outfit,X360,2006.0,Action,THQ,0.21,0.02,0.0,0.02,0.25,2006-03-13,"THQ and Relic Entertainment take explosive World War II combat to the next generation in an all-new 3rd Person Action Game. Combining intense squad-based combat with the freedom of total destruction, The Outfit takes players behind enemy lines, battling the Nazi War Machine through a variety of combat missions. Choose from three playable squad leaders - each with their own skills and abilities, as you lead a squad of battle-forged soldiers on missions ranging from reconnaissance and rescue to search and destroy. With interactive and fully destructible environments, you have the freedom to shoot, blow up or demolish anything in your path. As you complete mission objectives, you'll gain Field Units (FUs), a currency that can be used to order ""Destruction on Demand"" - air-dropped into the action at any time. With ""Destruction On Demand"" (D.O.D.) you can order in everything from tanks, jeeps, half-tracks and other combat vehicles to machinegun nests and anti-tank emplacements, or call in for squad reinforcements, air-strikes or artillery strikes. Experience the cinematic intensity of WWII combat through 12 epic Single-player missions or go online for a variety of Multiplayer modes, including Co-Op and Versus. [THQ]",70.0,7.6
13972,Ultimate Fighting Championship,PS,2000.0,Fighting,Ubisoft,0.14,0.09,0.0,0.02,0.25,2000-08-29,"The Ultimate Fighting Championship (UFC) is the premier mixed martial arts event in the world. There are no flying chairs or unrealistic moves. Spectators expect and demand to see true-to-life combat. Now, the ultimate fighting event comes to the Dreamcast as the most realistic fighting game ever created.",88.0,7.5
13973,MotoGP '07,X360,2007.0,Racing,THQ,0.23,0.0,0.0,0.02,0.25,2007-08-27,"MotoGP '07 is a next-generation motorcycle racing title, delivering an authentic MotoGP racing experience. Featuring life-like visuals, complete 2007 rider and team data, new 800cc MotoGP bikes and the newly-announced Misano event, the game's GP mode will be more robust than ever before. The title also features interactive track-side crowds, intense on-line tournament features, on-line ""pink-slip"" racing, a revamped Extreme mode (that allows players to race on city streets around the world) and significantly more bike and player customization options. [THQ]",78.0,6.9
13974,Samurai Shodown II,NG,1994.0,Fighting,SNK,0.0,0.0,0.25,0.0,0.25,2008-09-10,"[Xbox Live Arcade] The classic fighting game Samurai Shodown II comes to Xbox Live Arcade in all its action-packed glory. Haohmaru is attacked by a sinister assailant. This would-be assassin has been clearly manipulated by an evil force, and promises with his last breath to own Haohmaru's soul. Haohmaru's mentor and fencing master insists that Haohmaru stay away from the evil forces and avoid confrontation, but this he cannot do. The two share a few drinks to celebrate their reunion after a long separation, but at dawn, Haohmaru slips out unannounced to embark on his journey. An audacious smile plays on his lips. New fighting techniques: Learn to parry, roll, duck, and hop. Sixteen unique playable characters are included. Choose your favorite and rise to the top. [Microsoft]",72.0,7.4
13975,The Mummy: Tomb of the Dragon Emperor,PS2,2008.0,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25,2008-07-22,"In the third-person action-adventure game The Mummy: Tomb of the Dragon Emperor, players take on the roles of Rick O'Connell and his son, Alex (played by Brendan Fraser and Luke Ford, respectively, in the film). Gamers follow the lead characters on their harrowing journey - across exotic locations from ancient Chinese catacombs to beautiful, but dangerous, Himalayan peaks - to defeat the revived servants of the Dragon Emperor (Jet Li). The Mummy: Tomb of the Dragon Emperor allows players to switch seamlessly between gunplay and hand-to-hand melee attacks, and also features a fast and fluid combat system and an arsenal of weaponry that can be used to vanquish the many bone-chilling enemies players will face during their journey. [Sierra Entertainment]",39.0,6.4
13981,Scooby-Doo! Unmasked,PS2,2005.0,Platform,THQ,0.12,0.1,0.0,0.03,0.25,2005-09-12,"In this action adventure platform game, players assume the role of Scooby-Doo as he and the teenage sleuths of Mystery Inc. visit Fred's cousin Jed, a monster movie set designer. They find Jed has disappeared and his animatronics are out of control, sending mechanical monsters haywire and making Jed the prime suspect. Players must stop the creepy costumed characters, unmask the truth and prove Jed's innocence. Scooby is able to don Kung Fu, bat and archer costumes so that he can karate chop, glide and aim plungers at monsters. The game consists of three sprawling worlds that each feature multiple levels and mini games with numerous cut scenes and climactic boss battles. Players recognize will the voice of the original Batman television series' Adam West as Winslow Stanton, the game's main villain, as well as authentic Scooby-Doo! cartoon voice actors. In addition, effects from the original cartoon, such as canned laughter and classic catch phrases, have been incorporated into the game.",64.0,6.8
13996,World Series Baseball 2K3,PS2,2003.0,Sports,Sega,0.12,0.1,0.0,0.03,0.25,2003-03-10,"Sega Sports™ World Series® Baseball 2K3 spent the off-season improving what was already the best baseball franchise by adding ESPN broadcast presentation, more classic uniforms for every team, historical ballparks, player-specific batting stances and pitching styles for Hall of Fame legends, and more. This year, World Series Baseball 2K3 is in a league of its own!",89.0,7.3
14000,L.A. Noire: The Complete Edition,PC,2011.0,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25,2011-11-08,"Amid the post-war boom of Hollywood's Golden Age, Cole Phelps, an LAPD detective is thrown headfirst into a city drowning in its own success. Corruption is rampant, the drug trade is exploding, and murder rates are at an all-time high. In his fight to climb the ranks and do what's right, Phelps must unravel the truth behind a string of arson attacks, racketeering conspiracies and brutal murders, battling the L.A. underworld and even members of his own department to uncover a secret that could shake the city to its rotten core. Using groundbreaking new animation technology that captures every nuance of an actor's facial performance in astonishing detail, L.A. Noire is a violent crime thriller that blends breathtaking action with true detective work to deliver an unprecedented interactive experience. Search for clues, chase down suspects and interrogate witnesses as you struggle to find the truth in a city where everyone has something to hide.",83.0,8.0
14001,The Legend of Legacy,3DS,2015.0,Role-Playing,FuRyu,0.11,0.02,0.1,0.01,0.25,2015-10-13,Seven adventurers are about to embark on the quest of a lifetime as they explore the island of Avalon and unravel the mysteries of its dark past.,67.0,7.1
14002,Disgaea 2: Dark Hero Days,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25,2009-09-08,"Get a dose of hyper reality as you can discover what the outside world is like at the very same time as Rozalin! Enjoy the all-new Axel Chapters, as you get a glimpse of what makes a Dark Hero tick. Now you can take the fight to Overlord Zenon wherever you want to go! [NIS America]",83.0,8.3
14003,Devil Kings,PS2,2005.0,Action,Capcom,0.03,0.03,0.18,0.01,0.25,2005-10-12,"In Devil Kings, players assume the role of various warriors who must lead their hero into a succession of hostile confrontations against an onslaught of opponents. The action explodes on-screen when awesome ""critical moves"" are performed on the battlefield as players plow through enemy hordes. Unleash the special powers from within to bombard those who stand against you with ruthless attacks or summon a powerful storm of fiery meteors and watch them explode in a whirlwind of destruction. Using experience points earned during combat, gamers can level up their characters' personal attributes and weapons. There are over 80 special items to find and unlock in hidden treasure chests located throughout the game. It's up to the player to build up their heroes, collect items, and carve a new path to victory and ultimate domination. [Capcom]",64.0,7.3
14008,Far Cry Instincts Predator,X360,2006.0,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.25,2006-03-28,"Far Cry Instincts Predator features both Far Cry Instincts Next Chapter and an enhanced version of the original Far Cry Instincts game. Offering the kind of lush and deep natural environment true to the Far Cry brand, Far Cry Instincts on Xbox 360 captivates gamers with its enhanced graphical reality and gameplay. Giving gamers the opportunity to discover the Far Cry universe in an optimized, high-definition environment, the game takes advantage of Xbox 360's multi-core next-generation engine for improved performance. Gamers will experience advanced pathfinding and new enemy and vehicle artificial intelligence for improved chase scenes and more enemies on-screen at one time, allowing for more adrenaline-rushing fast-action sequences. [Ubisoft]",78.0,6.5
14009,X-Men: Destiny,PS3,2011.0,Action,Activision,0.14,0.08,0.0,0.03,0.25,2011-09-27,"X-Men: Destiny has you playing a new recruit amongst comic's motley mutant band, and promises a branching storyline that features a deep element of choice.",50.0,5.0
14021,X-Men Origins: Wolverine,Wii,2009.0,Action,Activision,0.19,0.04,0.0,0.02,0.25,2009-05-01,"Unleash the razor sharp adamantium claws, feral instincts, and mutant regeneration powers of the world's fiercest Super Hero - Wolverine - and uncage the story of how the ultimate weapon was created. The team at Raven Software has dedicated Wolverine's development to unstoppable, true-to-character authenticity. Take on impossible odds and exact revenge. [Activision]",77.0,7.9
14041,America's Army: Rise of a Soldier,XB,2005.0,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,2005-11-17,"America's Army: Rise of a Soldier is the Xbox version of the tactical first-person shooter developed in conjunction with the US Army. You can create a soldier and advance him or her through an army career from recruit to leader of a Special Forces team. America's Army: Rise of a Soldier also includes online multiplayer, so you can battle up to 16 players over the Internet.",70.0,7.4
14042,TV Superstars,PS3,2010.0,Misc,Sony Computer Entertainment,0.07,0.13,0.0,0.05,0.25,2010-10-12,"Cook, Model, and boogie your way past 15 minutes of fame and into celebrity stardom! Use the PlayStation Eye camera’s unique face-capture technology to place you, friends and family into the starring roles of five action-packed TV shows. Then use your PlayStation Move motion controller to physically compete and rise to the top of the “A list” to become a household name. Battle it out on the red carpet, pose for paparazzi photographs, and sign autographs to become the Star you’ve always wanted to be!",56.0,4.9
14043,Armored Core 4,X360,2007.0,Simulation,505 Games,0.19,0.01,0.03,0.02,0.25,2007-03-20,"Armored Core 4 reinvigorates the brand by offering an all-new storyline, new environments, and online capability. The 10th anniversary of the acclaimed franchise is punctuated with a leap to next-generation platforms. Multiplayer functionality allows up to eight players to battle online. Join one of six factions specializing in different aspects of battle. 30 missions played out in detailed futuristic 3D environments. Fly through canyons and rip through cities battling multiple enemies. Deploy ""Quick Boost"" and ""Over Boost"" features for precise explosive movement and precision control of AC units. Engage ""Primal Armor"" the all-new defense shield that adjusts its strength according to specific battle conditions. [Sega]",65.0,6.9
14047,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006.0,Adventure,Ubisoft,0.12,0.09,0.0,0.03,0.25,2006-06-28,"A sequel to the original Pirates of the Caribbean, Pirates of the Caribbean: The Legend of Jack Sparrow features a blend of fast-paced action and adventure that captures the entertaining characters, settings, and spirit of the first movie. Piracy, smuggling, buried treasure (not to mention kidnapping, sword fighting looting, pilfering, and other acts of villainy)...what's not to love about Captain Jack Sparrow? Jack Sparrow is the ultimate video game character - with his cocky swagger and his offbeat personality - and players are be able to experience his adventures first hand in this action game. Gamers slash and hack their way through a dozen locations, with fully interactive levels and varied gameplay. The action takes place in a variety of lush, immersive settings, including burning buildings, wrecked ships, and misty moonlit caves. The gameplay experience finds gamers fighting hordes of their enemies one minute, while in the next they're evading capture by the Royal Navy. Gamers learn new moves and combos as the game progresses, allowing even more spectacular, and deadly attacks during combat. [Bethesda Softworks]",51.0,7.4
14049,We Love Golf!,Wii,2007.0,Sports,Capcom,0.2,0.01,0.03,0.02,0.25,2008-07-15,"We Love Golf! presents a realistic golfing experience with a new spin, incorporating the Wii Remote's unique motion-sensing functionality. Players use the controller to choose clubs, line up shots, swing and even add a touch fade or draw with a flick of the wrist. Just as on a real course, gauging wind conditions, correct club selection and careful reading of the greens are all essential for victory. The game features a variety of game modes, multiple characters, and unlockable content. [Capcom]",75.0,6.0
14050,Anno 2205,PC,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.01,0.25,2015-11-02,"In Anno 2205, enlist with humankind‘s next step into the future with the promise to build a better tomorrow. You'll conquer Earth, establishing rich, bustling cities and grand industrial complexes, but to secure the prosperity of your people, you must travel into space.",72.0,6.1
14052,SBK Superbike World Championship,PS3,2008.0,Racing,Black Bean Games,0.12,0.11,0.0,0.02,0.25,2008-11-08,"Pick up and play arcade mode allowing the player to access the race in just a few seconds. A genuinely technically accurate extreme simulation mode for real petrol heads. 4 well balanced racing styles giving genuine progression and satisfaction to the gamer. 6 game modes - Basic, Arcade, Advanced, Simulation, Extreme and Custom. Next generation giving players the chance to challenge their friends and opponents all over the world. [Black Bean Games]",63.0,8.0
14060,Final Fantasy XI: Chains of Promathia,PS2,2004.0,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.25,2004-09-21,"Chains of Promathia is an expansion pack to Final Fantasy XI, which brings more exciting adventures, features, and locations for all levels of gamers. The first cross-platform, cross-continent MMORPG, Final Fantasy XI, allows gamers to connect to the same exact world regardless of whether they are playing on a personal computer or a PS2 and whether they are playing in North America or Japan. [Square Enix]",77.0,8.4
14062,Disney's A Christmas Carol,DS,2009.0,Adventure,Disney Interactive Studios,0.22,0.01,0.0,0.02,0.25,2009-11-03,"This is a puzzle-adventure game of the the feature-length movie, Disney's A Christmas Carol.",66.0,6.4
14063,Driver '76,PSP,2007.0,Racing,Ubisoft,0.03,0.14,0.0,0.08,0.25,2007-05-08,"Faithful to the brand spirit, Driver '76 is an action driving game that features Hollywood-style car chases while also letting the player experience the open environment on foot. The game thrusts the player into the heart of the 1970s, through 27 missions divided into six main plots. Players can take side jobs, earning cash that can be used to modify their rides. Driver '76 also offers an extensive multiplayer mode and a host of mini-games ranging from street races to all out carnage in Destruction Derby mode. Prequel Storyline to Driver Parallel Lines – The year is 1976, two years before Driver Parallel Lines. Multiplayer Games and Downloadable Content – Games include Street Racing, Destruction Derby, Pink Slip Racing and Swap Meet. Also download new paintjobs to use on your collected vehicles in the garage. Experience Open Environments in Authentic 1970's New York – All the architecture, music, cars and clothes of the '70s. Spans New York from Jersey to Coney Island. Vehicle Modification System – Collect your favorite vehicles and complete side job missions to get the cash to modify your ride. High-Speed Hollywood Racing Action – High-speed car races and crashes. Go even faster by customizing your car with special parts. Authentic '70s Soundtrack – Immerse yourself in the '70s with classic songs from the decade. [Ubisoft]",57.0,7.3
14064,NBA Courtside 2002,GC,2002.0,Sports,Nintendo,0.19,0.05,0.0,0.01,0.25,2002-01-13,"Despite the fact that it's a solid first-year effort, Courtside 2002 isn't without its flaws and is generally a step behind more seasoned competing products.",71.0,7.3
14065,Classic NES Series: Excitebike,GBA,2004.0,Racing,Nintendo,0.11,0.04,0.1,0.01,0.25,2004-06-02,"Nintendo rereleases Excitebike on the Game Boy Advance, complete with all the high-flying action from the original NES game. As in the original, your biker must keep his balance while flying through the air, avoid getting clipped by other racers, and prevent his bike from overheating. In Design mode, you can make your own course--with all the ramps, mounds, bridges, and other obstacles in the game--and then save the design for your friends to race on.",66.0,7.8
14070,Avalon Code,DS,2008.0,Role-Playing,Rising Star Games,0.11,0.0,0.12,0.01,0.24,2009-03-10,"From the creative minds behind Rune Factory and Harvest Moon with the development studio responsible for the Final Fantasy III and Final Fantasy IV DS remakes comes Avalon Code, an action RPG boasting a deep and engrossing story and innovative game play mechanics. Using the main character’s ""Book of Prophecy"", players can modify the rules of engagement during battle as well as weapon and monster attributes. The player even has control over the story as it changes depending on which gender the player chooses to play as, enhancing the ability to immerse themselves into the story. [XSEED]",71.0,7.8
14071,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009.0,Adventure,Ubisoft,0.12,0.1,0.0,0.02,0.24,2009-03-24,"Broken Sword: Shadow of the Templars - The Director's Cut starts with the player in control of charming Parisian photo-journalist Nicole Collard, who witnesses the brutal and horrifying murder of one of Paris's richest and most influential statesmen. During her investigations, which feature exclusive new locations, Nico meets amiable American George Stobbart, who has been unwittingly caught up in the sinister and bloody theft of an ancient manuscript. Together, they are drawn into a terrifying conspiracy rooted in a long-forgotten medieval legend. Expanding on the original classic storyline, The Director's Cut features tight scripting and an intense atmosphere from the explosive opening sequence to the gripping finale, where the full threat of the conspiracy is revealed. [Ubisoft]",78.0,8.1
14073,MLB,PSP,2005.0,Sports,Sony Computer Entertainment,0.23,0.0,0.0,0.02,0.24,2005-04-12,"Features all-new Branch Point Technology, which provides seamless fielding transitions and smooth base running; the all-new Playmaker Fielding Marker that brings together a player's attributes with the gamer's skill level in order to make the play; and the all-new Release Point Pitching with Confidence Meter, which helps determine a gamer's ability to hit spots in the strike zone. Supporting up to two players via wireless multiplayer connectivity , gamers can compete against the Artificial Intelligence or go head-to-head against another player. By providing an unmatched broadcast presentation that brings together on screen gameplay, cut scenes, animation and sound, MLB for the PSP provides an engrossing authentic baseball simulation. [SCEA]",80.0,7.9
14074,Command & Conquer 3: Kane's Wrath,X360,2008.0,Strategy,Electronic Arts,0.16,0.06,0.0,0.02,0.24,2008-03-24,"As the expansion pack to Command & Conquer 3 Tiberium Wars, this Real-time Strategy game returns to the Tiberium universe with Kane at the center of an epic new single player campaign which allows players to experience a new story that spans 20 years – from the rebirth of the Brotherhood of Nod after the Second Tiberium War through the dramatic events of the Third Tiberium War and beyond. The story is told through a new set of high-definition live action video sequences starring a celebrity cast. Joe Kucan, the original actor who portrayed the character Kane in Command & Conquer games over the last decade, reprises his role as the megalomaniacal leader of the Brotherhood of Nod. Kane's Wrath also features a new strategic layer to gameplay that allows players to establish bases, build customized armies, and attack their enemies on a global scale – and then dive into the frenzied tactical combat where their skills as a commander makes the difference in battle. The game introduces six new sub-factions and a wealth of new units, structures, and powers to the armies of the Global Defense Initiative, the Brotherhood of Nod, and the enigmatic alien Scrin. The Xbox 360 version features a revolutionary new radial interface designed specifically for console gamers. Taking RTS controls to a whole new level, players utilize the command stick to build, deploy, and attack. [Electronic Arts]",77.0,8.1
14078,Dreamcast Collection,X360,2011.0,Misc,Sega,0.16,0.07,0.0,0.02,0.24,2011-02-22,"The Dreamcast Collection includes the fan favorites Sonic Adventure, Crazy Taxi, SEGA Bass Fishing and Space Channel 5: Part 2.",53.0,5.4
14079,Corpse Party: Blood Drive,PSV,2014.0,Adventure,Marvelous Interactive,0.11,0.03,0.06,0.05,0.24,2015-10-13,Corpse Party: Blood Drive is the final installment of the story that began with Corpse Party and continued in Corpse Party: Book of Shadows. Players take direct control of a character or party of characters and explore the ruins of Heavenly Host Elementary and other locations from a top-down 3D perspective.,60.0,7.6
14080,Britney's Dance Beat,PS2,2002.0,Misc,THQ,0.12,0.09,0.0,0.03,0.24,2002-05-08,"She's young, beautiful, and talented. Her dance moves are as hot as her songs. And, only the best dancers can join Britney Spears on her world tour. See if you have what it takes to back her up. [THQ]",63.0,5.7
14084,Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,2011-11-15,"ACE COMBAT 3D soars to the Nintendo 3DS platform with an intense 3D experience that delivers supersonic flying, exciting dogfights and high-altitude acrobatics. With touch screen targeting and added control mechanics, players take full command of every intense skirmish to enable split-second counter-maneuvers, dynamic dogfight action and satisfying enemy takedowns. Fans of the series can look forward to a wide variety of real-world aircrafts to pilot, and a diverse range of missions to take on.",71.0,7.6
14085,Vexx,PS2,2003.0,Platform,Acclaim Entertainment,0.12,0.09,0.0,0.03,0.24,2003-02-10,"Step into the role of Vexx as he seeks vengeance on those who murdered his grandfather and enslaved his people. Equipped with a set of razor-sharp war talons, you'll travel through volcanic islands, desert temples, frozen citadels, and giants' castles to confront the evil Dark Yabu, Shadowraith, and their minions. As darkness falls, enemies become more aggressive and the environments become more hostile. It will take all your combat skills and climbing moves to bring peace back to the villagers of Rockhaven.",71.0,7.3
14094,Marvel vs. Capcom Origins,PS2,2006.0,Fighting,Capcom,0.11,0.08,0.02,0.03,0.24,2012-09-26,"MARVEL VS. CAPCOM ORIGINS offers both the one-on-one gameplay of Marvel Super Heroes with its unique Infinity Gem system and the two-on-two carnage of the original Marvel vs. Capcom: Clash of Super Heroes, featuring a tag system, assists, and the wild Duo Team Attack. Bringing forth a host of features never before seen in these games, MARVEL VS. CAPCOM ORIGINS features GGPO-enhanced online play with 8-player lobbies and spectator mode, HD graphical upgrades, dynamic challenges and replay saving.",78.0,8.3
14096,TimeSplitters: Future Perfect,PS2,2005.0,Shooter,Electronic Arts,0.12,0.09,0.0,0.03,0.24,2005-03-21,"In TimeSplitters Future Perfect, victory is in the hands of the player's past, present, and future self in a battle that stretches throughout time where humanity is on the brink of destruction from the malevolent TimeSplitters. Cortez--the tough-as-nails hero from previous installments--finds himself in a frantic race against time in a desperate bid to trace the origin of the TimeSplitters and save mankind. This third installment of the best-selling franchise will feature hundreds of hours of gameplay and an improved Story mode that ties all the missions together, immersing gamers in an epic adventure between the years of 1914 and 2401. Innovative ""meet yourself"" time travel gameplay lets players be their own ally by teaming up with past and future versions of themselves. The game also will allow two players to fight through the Story in Co-op mode, and features extensive Challenge and Arcade modes, and a Multiplayer mode that allows gamers to battle in 16-player death match online on the PlayStation(R)2 computer entertainment system. In addition, gamers will experience an improved Map Maker feature allowing them to easily create and play their own maps and share them online. TimeSplitters Future Perfect promises to be one of the deepest arcade shooters on the console with hundreds of unlockables, more realistic environments, spectacular special effects, high quality animated cut scenes, an improved physics engine, smarter enemy AI, and much more. [Electronic Arts]",84.0,8.9
14105,Final Fantasy Fables: Chocobo Tales,DS,2006.0,Adventure,Ubisoft,0.11,0.01,0.12,0.01,0.24,2007-04-03,"(Also known as ""Chocobo and the Magic Picture Book"") Final Fantasy Fables: Chocobo Tales begins with the Final Fantasy black magician bringing a picture book onto the Chocobo farm. This book is home to the great devil Bebuzu, and it sucks the entire farm into its pages. Chocobo embarks on an adventure with the white and black magicians in order to stop Bebezu from reviving himself to full form. Final Fantasy Fables: Chocobo Tales combines the field exploration of an RPG, with card-based battles. You are free to move about through the game's picture book influenced world. Encounter an enemy, and you find yourself in a card battle, referred to officially as a ""Pop-Up Duel."" You and your enemies take turns sending out cards to perform attacks.",75.0,7.2
14106,Genma Onimusha,XB,2002.0,Action,Capcom,0.14,0.04,0.05,0.01,0.24,2002-01-28,"In a hillside castle surrounded by the chaos of war, strange disappearances are occurring and the noble Princess Yuki fears for her life. One lone swordsman, Samanosuke heeds the princess's call for help and rushes to her side, only to find she has mysteriously vanished. Outside the fortress walls, enemy troops attack the attack the castle and now Samanosuke must stand by his vow to avenge the princess and defeat a legion of demon warriors.",83.0,8.6
14107,DK: King of Swing,GBA,2005.0,Platform,Nintendo,0.17,0.06,0.0,0.0,0.24,2005-09-19,"The normally quiet jungle is abuzz with excitement, because it's time for the ceremony to choose the king of the jungle! Or at least it would be if King K. Rool hadn't stolen the special medallion meant for the winner. Donkey Kong and his friends must swing their way through the jungle to get the medallion back and, along the way, rescue Diddy, Dixie, and Funky Kong from King K. Rool's minions. A unique control system lets you swing through the trees and spin to build up momentum for a mighty leap. Innovative level design combines elements of platform and puzzle games: Grab gears and spin to crank doors open. Watch out for bolts that loosen as you spin, or you might find yourself falling flat. You'll need steady hands to make the leap-of-faith that takes you to the treetops.",70.0,5.0
14108,Pure Futbol,PS3,2010.0,Sports,Ubisoft,0.06,0.13,0.0,0.05,0.24,2010-06-01,"(Also known as ""Pure Football"" in the UK/EU) Stop watching from the stands and discover what it’s like to play real soccer – raw and unfiltered. Through close-up camera angles and stunning audio & visual treatments, Pure Futbol captures the true on-field emotions. [Ubisoft]",46.0,7.3
14113,Midway Arcade Treasures: Extended Play,PSP,2005.0,Misc,Midway Games,0.21,0.01,0.0,0.02,0.24,2005-12-13,"Now you can play classic arcade games anywhere, anytime with Midway Arcade Treasures: Extended Play for the Sony PSP Entertainment System. Enjoy the coin-op games of the past for the first time on a portable system with multiplayer wireless support. Single Player: Spy Hunter, Sinistar, Defender, Paperboy and 720. Multiplayer Wireless: Klax, Joust, Marble Madness, Toobin’, Rampage - 3 player, Gauntlet - 4 player, Rampart - 3 player, Wizard of Wor, Xybots, Championship Sprint, Arch Rivals, Cyberball 2072, Xenophobe - 3 player, Mortal Kombat, Mortal Kombat 2 and Mortal Kombat 3. [Midway]",63.0,7.8
14114,"What Did I Do to Deserve This, My Lord!? 2",PSP,2008.0,Role-Playing,Nippon Ichi Software,0.05,0.0,0.18,0.01,0.24,2010-04-29,"The sequel to Holy Invasion of Privacy, Badman! What Did I Do To Deserve This?",73.0,8.0
